tweet,cn,offensive,stance,informativeness,felicity,tweet_id
@user rt @user sanctuary cities are against the law please shut them down & arrest/prosecute all criminal governors & mayors hashtag usa hashtag americans hashtag america hashtag constitution hashtag end sanctuary cities hashtag enddaca hashtag americafirst hashtag maga hashtag congress @user @user," @user @user rt @user if you have any questions, please feel free to contact me.",2,2,0,3,389
""" apparently @user considered setting annual refugee admissions cap at 5 000 hashtag refugees if that low number was admitted it would blow to smithereens the budgets of nine federal resettlement contractors learn who the nine supposed charities are https://t co/4d0drr2zar https://t co/yqfsnzqyuu""", I'm sorry to hear that. I'm trying to figure out what's going on.,2,1,0,3,809
europe is fed up with muslim immigration - new eu deal to stop the madness - free speech time - https://t co/blr3iqoxdl @user," I'm sorry to hear that, but I'm not a Muslim. I'm a Christian.",1,1,0,3,321
immigration gone crazy 100 trainee doctors from abroad what about nurse practitioners who are their equivalent get pain peanuts and are trained and come from the uk, I don't think it's a good idea.,3,2,0,3,47
turkish government must immediately take precautions to protect its borders and find solution for the trouble in syria or else turkey will be a refugee storage in the near future and this is a big threat for our survival hashtag nomore refugee s, I don't think it's the right thing to do.,3,3,1,3,737
"street interview whit italians ""send all migrants back to where they came from they block streets to pray "" - free speech time - https://t co/d5dqr8pg3r @user", I don't think it's the right thing to do.,3,3,1,3,93
@user time to start firing judges who dont detain immigrants so @user can deport if he was detain and not given a bond that citizen would be alive, @user I'm sorry to hear about this. I'm trying to figure out why they're apprehended.,2,2,0,3,101
"hashtag fakenews production gee they should trademark it a czech tourist notices something odd about these ""drowning refugees"" - they r part of the paid hashtag fakenews filming crew oh the poor hashtag muslims @user @user coproduction hashtag soros smirks contentedly https://t co/lf4qekayov", @user @user coproduction hashtag soros smirks contentedly,2,1,0,2,218
"""@user @user @user @user @user @user theyve spread to every corner of our country apparently millions (who knows how many really) but millions infiltrated us they must go too all of them hashtag noamnesty hashtag nodaca hashtag b""", I'm sorry to hear about the bangladeshi nationals.,2,2,0,3,778
"@user @user americas public assistance medicare medicaid ss et al are strained and americans ""benefits"" are being cut not even able to maintain status quo no immigrants should be granted entry that need assistance hashtag nodaca hashtag norefuge", @user @user I'm sorry to hear about this. I'm trying to figure out what's going on with the bangladeshi population.,2,2,0,3,277
@user must deport all illegal migrants india already reeling under constant threat of muslim radicals curb population, @user must deport all illegal migrants,1,1,0,2,658
for all the people holding up signs regarding illegal immigrants hand them each a bill to pay the cost of how much these people take from the american taxpayer and i bet they would take down their signs and go home, I'm not sure if I'm the only one who thinks this is the right thing to do.,1,1,0,3,136
one-third of 214 arrested ms-13 gangsters were unaccompanied alien children - breitbart hashtag enddaca hashtag noamnesty hashtag buildthewall hashtag protectamerica hashtag enforceuslaws hashtag keepamericanssafe, I don't know why they were apprehended in the first place.,3,3,3,3,257
this should make every american called senatorstell them build the dam wallno chain migration/visa lottery & no amnesty corrupt democrats cant winwith hard working american s because they are hashtag walkaway from lies hashtag maga hashtag nodaca, I don't think it's the right thing to do.,3,3,1,3,183
@user @user muslims coming illegally across the southern border hashtag maga hashtag kag hashtag buildthatwall hashtag votered hashtag buildthedamnwall, I don't know why they were apprehended.,2,2,0,3,598
today in tallin: puppets of the financial establishment dream from a new europe with many slaves macron a wordmouth and kern a refugeelover https://t co/yfkd6dsjfm, I don't know why they were apprehended.,2,2,0,3,165
soon turists will stay away from spain bathbeaches today new refugees come to spain from maroco and escaped without registration and walk through the bathingpeople 1600 come last days https://t co/3v3zt9ndpr, I'm not sure if it's a joke or not.,3,3,1,3,130
"@user dogs in america or dogs in mexico ?? a mexican asked me whether i was saying that hispanic immigrants had no right to a country meaning ours i replied ""immigrants have a country or they wouldnt be immigrants """, Dogs in america or dogs in mexico?,1,1,0,2,124
eu is a big spender of taxmoney turkey gets again many â‚¬ for keeping the refugees away from europe of course also other countries in africa want now money from the eu like libya sudan aso the only help would be now concentrationcamps hopefully without food and water https://t co/y8gujkv6qo, The EU is a big spender of taxmoney Turkey gets again many â for keeping the refugees away from Europe of course also other countries in africa want now money from the EU like Libya sudan aso the only help would be now concentrationcamps hopefully without food and water,1,1,0,2,641
the real truth is after cologne and in the nordic countries and others no one trusts any refugees a better life for them doesnt mean 1 4 u, a better life for them doesn't mean 1 4 u,1,1,0,2,5
@user rt @user sanctuary cities are against the law please shut them down & arrest/prosecute all criminal governors & mayors hashtag usa hashtag americans hashtag america hashtag constitution hashtag end sanctuary cities hashtag enddaca hashtag americafirst hashtag maga hashtag congress @user @user, @user rt @user #sanctuarycities #sanctuaries #sancturies,2,2,0,2,389
""" apparently @user considered setting annual refugee admissions cap at 5 000 hashtag refugees if that low number was admitted it would blow to smithereens the budgets of nine federal resettlement contractors learn who the nine supposed charities are https://t co/4d0drr2zar https://t co/yqfsnzqyuu"""," I'm not sure if it's a good idea or not, but I don't think it's necessary.",3,3,1,3,809
europe is fed up with muslim immigration - new eu deal to stop the madness - free speech time - https://t co/blr3iqoxdl @user," I'm not a Muslim, but I'm a Muslim.",2,2,0,1,321
immigration gone crazy 100 trainee doctors from abroad what about nurse practitioners who are their equivalent get pain peanuts and are trained and come from the uk, I don't think it's the right thing to do.,2,2,0,3,47
turkish government must immediately take precautions to protect its borders and find solution for the trouble in syria or else turkey will be a refugee storage in the near future and this is a big threat for our survival hashtag nomore refugee s, Turkey should be a refugee storage in the near future.,1,1,0,3,737
"street interview whit italians ""send all migrants back to where they came from they block streets to pray "" - free speech time - https://t co/d5dqr8pg3r @user", I don't think it's a good idea to send all migrants back to where they came from.,3,3,2,3,93
@user time to start firing judges who dont detain immigrants so @user can deport if he was detain and not given a bond that citizen would be alive, I don't think it's a good idea to detain immigrants.,3,3,2,3,101
"hashtag fakenews production gee they should trademark it a czech tourist notices something odd about these ""drowning refugees"" - they r part of the paid hashtag fakenews filming crew oh the poor hashtag muslims @user @user coproduction hashtag soros smirks contentedly https://t co/lf4qekayov", I don't think it's the right thing to do.,2,2,0,3,218
"""@user @user @user @user @user @user theyve spread to every corner of our country apparently millions (who knows how many really) but millions infiltrated us they must go too all of them hashtag noamnesty hashtag nodaca hashtag b""", I don't know why they were apprehended.,2,2,0,3,778
"@user @user americas public assistance medicare medicaid ss et al are strained and americans ""benefits"" are being cut not even able to maintain status quo no immigrants should be granted entry that need assistance hashtag nodaca hashtag norefuge", I don't think it's the right thing to do.,3,3,1,3,277
@user must deport all illegal migrants india already reeling under constant threat of muslim radicals curb population," Sadly, India is already reeling under constant threat of muslim radicals.",1,1,0,2,658
for all the people holding up signs regarding illegal immigrants hand them each a bill to pay the cost of how much these people take from the american taxpayer and i bet they would take down their signs and go home, they would take down their signs and go home,1,1,0,2,136
one-third of 214 arrested ms-13 gangsters were unaccompanied alien children - breitbart hashtag enddaca hashtag noamnesty hashtag buildthewall hashtag protectamerica hashtag enforceuslaws hashtag keepamericanssafe, gangsters were unaccompanied alien children,1,1,0,2,257
this should make every american called senatorstell them build the dam wallno chain migration/visa lottery & no amnesty corrupt democrats cant winwith hard working american s because they are hashtag walkaway from lies hashtag maga hashtag nodaca, s,2,2,0,1,183
@user @user muslims coming illegally across the southern border hashtag maga hashtag kag hashtag buildthatwall hashtag votered hashtag buildthedamnwall, muslims coming illegally across the southern border hashtag buildthatwall hashtag votered hashtag buildthedamnwall,1,1,0,2,598
today in tallin: puppets of the financial establishment dream from a new europe with many slaves macron a wordmouth and kern a refugeelover https://t co/yfkd6dsjfm, kern a refugeelover,1,1,0,2,165
soon turists will stay away from spain bathbeaches today new refugees come to spain from maroco and escaped without registration and walk through the bathingpeople 1600 come last days https://t co/3v3zt9ndpr, turists will stay away,1,1,0,2,130
"@user dogs in america or dogs in mexico ?? a mexican asked me whether i was saying that hispanic immigrants had no right to a country meaning ours i replied ""immigrants have a country or they wouldnt be immigrants """, dogs in america or dogs in mexico??,1,1,0,2,124
eu is a big spender of taxmoney turkey gets again many â‚¬ for keeping the refugees away from europe of course also other countries in africa want now money from the eu like libya sudan aso the only help would be now concentrationcamps hopefully without food and water https://t co/y8gujkv6qo, Libya is a big spender of taxmoney. Turkey gets again many â for keeping the refugees away from Europe. Of course also other countries in Africa want now money from the EU like libya sudan aso the only help would be now concentrationcamps hopefully without food and water.,1,1,0,2,641
the real truth is after cologne and in the nordic countries and others no one trusts any refugees a better life for them doesnt mean 1 4 u, a better life for them doesn't mean 1 4 u,1,1,0,2,5
@user rt @user sanctuary cities are against the law please shut them down & arrest/prosecute all criminal governors & mayors hashtag usa hashtag americans hashtag america hashtag constitution hashtag end sanctuary cities hashtag enddaca hashtag americafirst hashtag maga hashtag congress @user @user, RT @user @user: sanctuary cities are against the law please shut them down & arrest/prosecute all criminal governors & mayors,1,1,0,2,389
""" apparently @user considered setting annual refugee admissions cap at 5 000 hashtag refugees if that low number was admitted it would blow to smithereens the budgets of nine federal resettlement contractors learn who the nine supposed charities are https://t co/4d0drr2zar https://t co/yqfsnzqyuu""", if that low number was admitted it would blow to smithereens the budgets,1,1,0,2,809
europe is fed up with muslim immigration - new eu deal to stop the madness - free speech time - https://t co/blr3iqoxdl @user, Europe is fed up with muslim immigration - new EU deal to stop the madness,1,1,0,2,321
immigration gone crazy 100 trainee doctors from abroad what about nurse practitioners who are their equivalent get pain peanuts and are trained and come from the uk," Sadly, the UK is a great place to be a nurse practitioner.",2,2,0,3,47
turkish government must immediately take precautions to protect its borders and find solution for the trouble in syria or else turkey will be a refugee storage in the near future and this is a big threat for our survival hashtag nomore refugee s, turkish government must immediately take precautions to protect its borders,1,1,0,2,737
"street interview whit italians ""send all migrants back to where they came from they block streets to pray "" - free speech time - https://t co/d5dqr8pg3r @user", they block streets to pray,1,1,0,2,93
@user time to start firing judges who dont detain immigrants so @user can deport if he was detain and not given a bond that citizen would be alive, if he was detain and not given a bond that citizen would be alive,1,1,0,2,101
"hashtag fakenews production gee they should trademark it a czech tourist notices something odd about these ""drowning refugees"" - they r part of the paid hashtag fakenews filming crew oh the poor hashtag muslims @user @user coproduction hashtag soros smirks contentedly https://t co/lf4qekayov", soros smirks contentedly (fact),1,1,0,2,218
"""@user @user @user @user @user @user theyve spread to every corner of our country apparently millions (who knows how many really) but millions infiltrated us they must go too all of them hashtag noamnesty hashtag nodaca hashtag b"""," Sadly, the policy of noamnesty does not exist.",3,3,3,3,778
"@user @user americas public assistance medicare medicaid ss et al are strained and americans ""benefits"" are being cut not even able to maintain status quo no immigrants should be granted entry that need assistance hashtag nodaca hashtag norefuge"," Nevertheless, it's a good policy.",3,3,0,3,277
@user must deport all illegal migrants india already reeling under constant threat of muslim radicals curb population," yep, muslim radicals are a threat to india.",1,1,0,3,658
for all the people holding up signs regarding illegal immigrants hand them each a bill to pay the cost of how much these people take from the american taxpayer and i bet they would take down their signs and go home," oh, i don't think they would take down their signs.",3,3,2,3,136
one-third of 214 arrested ms-13 gangsters were unaccompanied alien children - breitbart hashtag enddaca hashtag noamnesty hashtag buildthewall hashtag protectamerica hashtag enforceuslaws hashtag keepamericanssafe, Several of the gangsters were unaccompanied children.,1,1,0,2,257
this should make every american called senatorstell them build the dam wallno chain migration/visa lottery & no amnesty corrupt democrats cant winwith hard working american s because they are hashtag walkaway from lies hashtag maga hashtag nodaca," ahh, I don't know what you mean by ""corrupt democrats"".",3,3,2,3,183
@user @user muslims coming illegally across the southern border hashtag maga hashtag kag hashtag buildthatwall hashtag votered hashtag buildthedamnwall," yep, muslims coming illegally across the southern border",1,1,0,2,598
today in tallin: puppets of the financial establishment dream from a new europe with many slaves macron a wordmouth and kern a refugeelover https://t co/yfkd6dsjfm," yep, kern is a refugee lover.",1,1,0,2,165
soon turists will stay away from spain bathbeaches today new refugees come to spain from maroco and escaped without registration and walk through the bathingpeople 1600 come last days https://t co/3v3zt9ndpr, i don't know what you're talking about.,3,3,1,3,130
"@user dogs in america or dogs in mexico ?? a mexican asked me whether i was saying that hispanic immigrants had no right to a country meaning ours i replied ""immigrants have a country or they wouldnt be immigrants """, yea i said immigrants have a country or they wouldnt be immigrants,1,1,0,2,124
eu is a big spender of taxmoney turkey gets again many â‚¬ for keeping the refugees away from europe of course also other countries in africa want now money from the eu like libya sudan aso the only help would be now concentrationcamps hopefully without food and water https://t co/y8gujkv6qo, i don't think it's a good idea to keep refugees away from Europe.,3,3,2,3,641
the real truth is after cologne and in the nordic countries and others no one trusts any refugees a better life for them doesnt mean 1 4 u," yep, a better life for them does not mean 1 4 u.",1,1,0,2,5
@user rt @user sanctuary cities are against the law please shut them down & arrest/prosecute all criminal governors & mayors hashtag usa hashtag americans hashtag america hashtag constitution hashtag end sanctuary cities hashtag enddaca hashtag americafirst hashtag maga hashtag congress @user @user, rt @user sanctuary cities are against the law please shut them down & arrest/prosecute all criminal governors & mayors,1,1,0,2,389
""" apparently @user considered setting annual refugee admissions cap at 5 000 hashtag refugees if that low number was admitted it would blow to smithereens the budgets of nine federal resettlement contractors learn who the nine supposed charities are https://t co/4d0drr2zar https://t co/yqfsnzqyuu""", yqfsnzqyuu,2,2,0,1,809
europe is fed up with muslim immigration - new eu deal to stop the madness - free speech time - https://t co/blr3iqoxdl @user," yep, muslim immigration is a problem.",1,1,0,3,321
immigration gone crazy 100 trainee doctors from abroad what about nurse practitioners who are their equivalent get pain peanuts and are trained and come from the uk," yep, they are trained in the uk.",2,2,0,3,47
turkish government must immediately take precautions to protect its borders and find solution for the trouble in syria or else turkey will be a refugee storage in the near future and this is a big threat for our survival hashtag nomore refugee s, turkish government must take precautions to protect its borders and find solution for the trouble in syria,1,1,0,3,737
"street interview whit italians ""send all migrants back to where they came from they block streets to pray "" - free speech time - https://t co/d5dqr8pg3r @user"," yep, they block the streets to pray.",1,1,0,2,93
@user time to start firing judges who dont detain immigrants so @user can deport if he was detain and not given a bond that citizen would be alive, yea if he was detain and not given a bond that citizen would be alive,1,1,0,2,101
"hashtag fakenews production gee they should trademark it a czech tourist notices something odd about these ""drowning refugees"" - they r part of the paid hashtag fakenews filming crew oh the poor hashtag muslims @user @user coproduction hashtag soros smirks contentedly https://t co/lf4qekayov"," ah, soros smirks contentedly.",1,1,0,2,218
"""@user @user @user @user @user @user theyve spread to every corner of our country apparently millions (who knows how many really) but millions infiltrated us they must go too all of them hashtag noamnesty hashtag nodaca hashtag b"""," ahh, I'm not sure what you're talking about.",3,3,1,3,778
"@user @user americas public assistance medicare medicaid ss et al are strained and americans ""benefits"" are being cut not even able to maintain status quo no immigrants should be granted entry that need assistance hashtag nodaca hashtag norefuge", thereby,2,2,0,1,277
@user must deport all illegal migrants india already reeling under constant threat of muslim radicals curb population," yep, muslim radicals are a threat to India.",1,1,0,3,658
for all the people holding up signs regarding illegal immigrants hand them each a bill to pay the cost of how much these people take from the american taxpayer and i bet they would take down their signs and go home, oh for all the people holding up signs regarding illegal immigrants hand them each a bill to pay the cost of how much these people take from the american taxpayer,1,1,0,2,136
one-third of 214 arrested ms-13 gangsters were unaccompanied alien children - breitbart hashtag enddaca hashtag noamnesty hashtag buildthewall hashtag protectamerica hashtag enforceuslaws hashtag keepamericanssafe, Those are not gangsters. They are unaccompanied alien children.,3,3,3,3,257
this should make every american called senatorstell them build the dam wallno chain migration/visa lottery & no amnesty corrupt democrats cant winwith hard working american s because they are hashtag walkaway from lies hashtag maga hashtag nodaca," Nevertheless, I think it's a good idea to build the wall.",1,1,0,3,183
@user @user muslims coming illegally across the southern border hashtag maga hashtag kag hashtag buildthatwall hashtag votered hashtag buildthedamnwall," yep, muslims coming illegally across the southern border.",1,1,0,2,598
today in tallin: puppets of the financial establishment dream from a new europe with many slaves macron a wordmouth and kern a refugeelover https://t co/yfkd6dsjfm, kern a refugeelover,1,1,0,2,165
soon turists will stay away from spain bathbeaches today new refugees come to spain from maroco and escaped without registration and walk through the bathingpeople 1600 come last days https://t co/3v3zt9ndpr, i don't know what you're talking about,3,2,0,3,130
"@user dogs in america or dogs in mexico ?? a mexican asked me whether i was saying that hispanic immigrants had no right to a country meaning ours i replied ""immigrants have a country or they wouldnt be immigrants """," yep, dogs in mexico.",1,1,0,2,124
eu is a big spender of taxmoney turkey gets again many â‚¬ for keeping the refugees away from europe of course also other countries in africa want now money from the eu like libya sudan aso the only help would be now concentrationcamps hopefully without food and water https://t co/y8gujkv6qo, eu is a big spender of taxmoney turkey gets again many â for keeping the refugees away from europe,1,1,0,2,641
the real truth is after cologne and in the nordic countries and others no one trusts any refugees a better life for them doesnt mean 1 4 u, a better life for them doesn't mean 1 4 u,1,1,0,2,5
@user rt @user sanctuary cities are against the law please shut them down & arrest/prosecute all criminal governors & mayors hashtag usa hashtag americans hashtag america hashtag constitution hashtag end sanctuary cities hashtag enddaca hashtag americafirst hashtag maga hashtag congress @user @user," ahahahahhahahaha i'm not a racist, but i don't think it's a good idea to be racist.",3,2,0,1,389
""" apparently @user considered setting annual refugee admissions cap at 5 000 hashtag refugees if that low number was admitted it would blow to smithereens the budgets of nine federal resettlement contractors learn who the nine supposed charities are https://t co/4d0drr2zar https://t co/yqfsnzqyuu""", yqfsnzqyu,2,2,0,1,809
europe is fed up with muslim immigration - new eu deal to stop the madness - free speech time - https://t co/blr3iqoxdl @user, europe is fed up with muslim immigration,1,1,0,2,321
immigration gone crazy 100 trainee doctors from abroad what about nurse practitioners who are their equivalent get pain peanuts and are trained and come from the uk," Sadly, it's not just trainee doctors from abroad who are trained and come from the UK",2,2,0,3,47
turkish government must immediately take precautions to protect its borders and find solution for the trouble in syria or else turkey will be a refugee storage in the near future and this is a big threat for our survival hashtag nomore refugee s," oh no, i don't think it's a threat for our survival.",3,3,1,3,737
"street interview whit italians ""send all migrants back to where they came from they block streets to pray "" - free speech time - https://t co/d5dqr8pg3r @user", i don't think it's free speech time.,3,3,1,3,93
@user time to start firing judges who dont detain immigrants so @user can deport if he was detain and not given a bond that citizen would be alive, if he was detained and not given a bond that citizen would be alive,1,1,0,2,101
